ID,SubBorough,06_ratio,06_stop,06_black
503,South Shore,9.608211289,0.7751391,0.0806746
502,Mid-Island,2.96868181,0.9226213,0.3107848
501,North Shore,1.021814593,1.9646809,1.9227372
414,Rockaways,0.777290926,1.817804,2.3386404
413,Queens Village,0.334998582,2.0653562,6.1652685
412,Jamaica,0.571601528,4.382098,7.666351
411,Bayside/Little Neck,7.310037908,0.8322355,0.1138483
410,South Ozone Park/Howard Beach,1.095208599,1.0368141,0.9466818
409,Ozone Park/Woodhaven,1.425365898,0.9208055,0.6460134
408,Hillcrest/Fresh Meadows,2.168893178,1.8028742,0.8312416
407,Flushing/Whitestone,3.375627522,1.2532962,0.371278
406,Rego Park/Forest Hills,3.488764954,0.5342447,0.1531329
405,Middle Village/Ridgewood,15.13336107,1.4586818,0.0963885
404,Elmhurst/Corona,2.55560728,1.056586,0.4134383
403,Jackson Heights,3.339535643,2.2707418,0.6799574
402,Sunnyside/Woodside,7.759576101,1.1495946,0.1481517
401,Astoria,2.82005315,1.843225,0.6536136
310,Washington Heights/Inwood,2.562231351,2.3619347,0.9218272
309,East Harlem,2.085203788,4.4926592,2.154542
308,Central Harlem,1.193094363,5.0273074,4.2136712
307,Morningside Heights/Hamilton Heights,1.333989413,1.9719441,1.4782307
306,Upper East Side,3.142556291,1.282954,0.4082517
305,Upper West Side,1.932611637,1.5022607,0.7773215
304,Stuyvesant Town/Turtle Bay,4.499841637,0.796525,0.1770118
303,Chelsea/Clinton/Midtown,7.264232414,2.95146,0.4063003
302,Lower East Side/Chinatown,2.317562112,2.0621281,0.8897833
301,Greenwich Village/Financial District,6.691229438,1.3888749,0.2075665
218,Flatlands/Canarsie,0.294285585,1.8307162,6.2208832
217,East Flatbush,0.152885778,1.0358053,6.7750271
216,Brownsville/Ocean Hill,0,6.1072968,0
215,Sheepshead Bay/Gravesend,3.657254837,1.0922964,0.2986657
214,Flatbush,0.517750076,1.6610411,3.2081909
213,Coney Island,1.814181438,1.1159016,0.6150993
212,Borough Park,2.352979952,0.5509903,0.234167
211,Bensonhurst,33.80416272,0.9998931,0.029579
210,Bay Ridge,3.534104436,0.3901923,0.1104077
209,South Crown Heights,0.20644893,0.8750073,4.2383718
208,North Crown Heights/Prospect Heights,0.580602206,2.7848111,4.7964185
207,Sunset Park,5.066704637,1.1588753,0.2287237
206,Park Slope/Carroll Gardens,2.588981532,1.2038664,0.4649961
205,East New York/Starrett City,1.309818285,4.9413602,3.772554
204,Bushwick,1.361285797,1.7873391,1.3129786
203,Bedford Stuyvesant,0.627795227,2.853811,4.5457673
202,Brooklyn Heights/Fort Greene,1.766650817,2.8864952,1.6338799
201,Williamsburg/Greenpoint,11.10233547,1.8728828,0.1686927
110,Williamsbridge/Baychester,0.258550409,1.3299627,5.1439203
109,Pelham Parkway,0.761167027,0.8766213,1.1516807
108,Throgs Neck/Co-op City,0.279686767,0.3805081,1.3604796
107,Soundview/Parkchester,0.656493057,1.9321985,2.9432124
106,Riverdale/Kingsbridge,0.702923566,0.5515956,0.7847163
105,Kingsbridge Heights/Moshulu,0.468407042,0.6022358,1.2857105
104,University Heights/Fordham,0.633469645,1.2571295,1.9845142
103,Highbridge/South Concourse,0.826149473,1.9372424,2.3449054
102,Morrisania/Belmont,0.864222127,2.2400752,2.5920133
101,Mott Haven/Hunts Point,1.970809678,3.8190024,1.9377835
