"ZCTA5CE00,C,5","CLASSFP00,C,2","MTFCC00,C,5","FUNCSTAT00,C,1"
11004,B5,G6350,S
11005,B5,G6350,S
11363,B5,G6350,S
11362,B5,G6350,S
11364,B5,G6350,S
11366,B5,G6350,S
11365,B5,G6350,S
11361,B5,G6350,S
11358,B5,G6350,S
11360,B5,G6350,S
11691,B5,G6350,S
11692,B5,G6350,S
11693,B5,G6350,S
11694,B5,G6350,S
11697,B5,G6350,S
11356,B5,G6350,S
11357,B5,G6350,S
11354,B5,G6350,S
11430,B5,G6350,S
11422,B5,G6350,S
11379,B5,G6350,S
11385,B5,G6350,S
11429,B5,G6350,S
11374,B5,G6350,S
11428,B5,G6350,S
11427,B5,G6350,S
11423,B5,G6350,S
11411,B5,G6350,S
11375,B5,G6350,S
11367,B5,G6350,S
11355,B5,G6350,S
11368,B5,G6350,S
11412,B5,G6350,S
11371,B5,G6350,S
11369,B5,G6350,S
11413,B5,G6350,S
11373,B5,G6350,S
11372,B5,G6350,S
11433,B5,G6350,S
11432,B5,G6350,S
11378,B5,G6350,S
11434,B5,G6350,S
11436,B5,G6350,S
11104,B5,G6350,S
11435,B5,G6350,S
11377,B5,G6350,S
11415,B5,G6350,S
11105,B5,G6350,S
11420,B5,G6350,S
11419,B5,G6350,S
11103,B5,G6350,S
11414,B5,G6350,S
11417,B5,G6350,S
11102,B5,G6350,S
11106,B5,G6350,S
11416,B5,G6350,S
11418,B5,G6350,S
11421,B5,G6350,S
11101,B5,G6350,S
11426,B5,G6350,S
11370,B5,G6350,S
10474,B5,G6350,S
10472,B5,G6350,S
10463,B5,G6350,S
10471,B5,G6350,S
10473,B5,G6350,S
10475,B5,G6350,S
10467,B5,G6350,S
10462,B5,G6350,S
10453,B5,G6350,S
10465,B5,G6350,S
10466,B5,G6350,S
10451,B5,G6350,S
10464,B5,G6350,S
10470,B5,G6350,S
10469,B5,G6350,S
10455,B5,G6350,S
10460,B5,G6350,S
10458,B5,G6350,S
10468,B5,G6350,S
10457,B5,G6350,S
10452,B5,G6350,S
10461,B5,G6350,S
10454,B5,G6350,S
10456,B5,G6350,S
10459,B5,G6350,S
10301,B5,G6350,S
10305,B5,G6350,S
10310,B5,G6350,S
10302,B5,G6350,S
10304,B5,G6350,S
10306,B5,G6350,S
10308,B5,G6350,S
10312,B5,G6350,S
10314,B5,G6350,S
10309,B5,G6350,S
10303,B5,G6350,S
10307,B5,G6350,S
10282,B5,G6350,S
10280,B5,G6350,S
10002,B5,G6350,S
10038,B5,G6350,S
10005,B5,G6350,S
10271,B5,G6350,S
10041,B5,G6350,S
10007,B5,G6350,S
10006,B5,G6350,S
10048,B5,G6350,S
10009,B5,G6350,S
10013,B5,G6350,S
10279,B5,G6350,S
10278,B5,G6350,S
10003,B5,G6350,S
10012,B5,G6350,S
10010,B5,G6350,S
10016,B5,G6350,S
10014,B5,G6350,S
10011,B5,G6350,S
10001,B5,G6350,S
10017,B5,G6350,S
10165,B5,G6350,S
10036,B5,G6350,S
10018,B5,G6350,S
10022,B5,G6350,S
10171,B5,G6350,S
10172,B5,G6350,S
10167,B5,G6350,S
10169,B5,G6350,S
10170,B5,G6350,S
10177,B5,G6350,S
10173,B5,G6350,S
10020,B5,G6350,S
10152,B5,G6350,S
10154,B5,G6350,S
10119,B5,G6350,S
10019,B5,G6350,S
10103,B5,G6350,S
10112,B5,G6350,S
10111,B5,G6350,S
10021,B5,G6350,S
10153,B5,G6350,S
10023,B5,G6350,S
10162,B5,G6350,S
10028,B5,G6350,S
10026,B5,G6350,S
10029,B5,G6350,S
10025,B5,G6350,S
10024,B5,G6350,S
10128,B5,G6350,S
10069,B5,G6350,S
10035,B5,G6350,S
10027,B5,G6350,S
10037,B5,G6350,S
10115,B5,G6350,S
10039,B5,G6350,S
10030,B5,G6350,S
10031,B5,G6350,S
10032,B5,G6350,S
10044,B5,G6350,S
10033,B5,G6350,S
10040,B5,G6350,S
10034,B5,G6350,S
11201,B5,G6350,S
11232,B5,G6350,S
11220,B5,G6350,S
11215,B5,G6350,S
11205,B5,G6350,S
11209,B5,G6350,S
11217,B5,G6350,S
11231,B5,G6350,S
11219,B5,G6350,S
11228,B5,G6350,S
11238,B5,G6350,S
11218,B5,G6350,S
11214,B5,G6350,S
11225,B5,G6350,S
11226,B5,G6350,S
11204,B5,G6350,S
11216,B5,G6350,S
11206,B5,G6350,S
11221,B5,G6350,S
11213,B5,G6350,S
11233,B5,G6350,S
11223,B5,G6350,S
11224,B5,G6350,S
11235,B5,G6350,S
11212,B5,G6350,S
11207,B5,G6350,S
11237,B5,G6350,S
11230,B5,G6350,S
11222,B5,G6350,S
11211,B5,G6350,S
11210,B5,G6350,S
11229,B5,G6350,S
11234,B5,G6350,S
11203,B5,G6350,S
11236,B5,G6350,S
11239,B5,G6350,S
11208,B5,G6350,S
10004,B5,G6350,S
