"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/26/2013. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",SubBorough,2006,2007,2008,2009,2010,2011,2012,Predicted Value
,New York City,495653,576438,524351,564530,576438,660140,516784,
401,Astoria,9136,10520,11690,10805,10520,9974,8077,
210,Bay Ridge,1934,2500,3198,2442,2500,2661,2430,
411,Bayside/Little Neck,4125,4036,3725,4268,4036,4011,3135,
203,Bedford Stuyvesant,14145,19365,20813,22662,19365,20687,18532,
211,Bensonhurst,10237,9075,5593,7385,9075,9291,7748,
212,Borough Park,4956,4794,4458,5807,4794,4392,4303,
202,Brooklyn Heights/Fort Greene,2731,2176,2968,3058,2176,2575,2498,
216,Brownsville/Ocean Hill,14307,15033,13943,15187,15033,15627,12189,
204,Bushwick,30271,25165,27306,35390,25165,33153,28112,
308,Central Harlem,8859,14278,13569,13616,14278,22002,16087,
303,Chelsea/Clinton/Midtown,24918,18733,18510,19871,18733,22153,17916,
213,Coney Island,14629,16244,17354,13783,16244,16006,12812,
217,East Flatbush,5531,8859,6633,8726,8859,9368,7394,
309,East Harlem,5134,9399,5832,10159,9399,10259,9049,
205,East New York/Starrett City,22268,27145,23914,22665,27145,26722,17390,
404,Elmhurst/Corona,24492,20431,21947,22301,20431,22363,18281,
214,Flatbush,5237,10326,7190,8005,10326,7221,6328,
218,Flatlands/Canarsie,8233,8763,8767,8700,8763,10657,9391,
407,Flushing/Whitestone,9074,9636,8648,7934,9636,10394,8762,
301,Greenwich Village/Financial District,6212,9614,7861,9770,9614,12472,9378,
103,Highbridge/South Concourse,2648,2866,2497,2931,2866,3098,2514,
408,Hillcrest/Fresh Meadows,6884,8243,8354,6902,8243,9070,9055,
403,Jackson Heights,9602,13650,9827,12540,13650,17265,15828,
412,Jamaica,8936,7951,6309,6409,7951,6242,5093,
105,Kingsbridge Heights/Moshulu,5139,7270,5895,7167,7270,7729,4524,
302,Lower East Side/Chinatown,11255,16352,11657,15780,16352,20766,10356,
405,Middle Village/Ridgewood,21720,23664,19145,21620,23664,27880,20013,
502,Mid-Island,4564,8787,8003,7061,8787,9810,6917,
307,Morningside Heights/Hamilton Heights,2985,8578,6975,7799,8578,11559,7612,
102,Morrisania/Belmont,10221,9433,10263,10468,9433,10875,9906,
101,Mott Haven/Hunts Point,7230,7181,7018,7856,7181,6476,4774,
208,North Crown Heights/Prospect Heights,4573,4638,8066,4513,4638,7045,4885,
501,North Shore,9774,8233,6803,10628,8233,11770,10956,
409,Ozone Park/Woodhaven,11103,14167,10962,11783,14167,15492,11933,
206,Park Slope/Carroll Gardens,18929,24905,19666,22864,24905,28675,26635,
109,Pelham Parkway,13803,16083,13668,16473,16083,17832,15712,
413,Queens Village,9738,17845,17225,19932,17845,15845,12039,
406,Rego Park/Forest Hills,5967,7743,6816,6890,7743,7974,7219,
106,Riverdale/Kingsbridge,4345,8218,4780,6716,8218,8480,5930,
414,Rockaways,2734,1920,2263,2008,1920,2418,2161,
215,Sheepshead Bay/Gravesend,9010,12263,9685,11346,12263,15166,12835,
107,Soundview/Parkchester,5414,4808,5343,4795,4808,5830,6132,
209,South Crown Heights,9577,11679,10105,10048,11679,17231,10492,
410,South Ozone Park/Howard Beach,4337,7534,5136,6997,7534,6346,5375,
503,South Shore,3842,3611,5740,3587,3611,3554,2898,
304,Stuyvesant Town/Turtle Bay,3948,4163,5431,4693,4163,4754,3376,
402,Sunnyside/Woodside,5698,7375,6706,7346,7375,6268,4484,
207,Sunset Park,5744,5343,4887,5308,5343,7978,6225,
108,Throgs Neck/Co-op City,1886,3653,2211,2940,3653,3891,2743,
104,University Heights/Fordham,6231,11616,8039,9026,11616,14339,6815,
306,Upper East Side,6359,4240,5389,3726,4240,5179,4588,
305,Upper West Side,7446,8582,6945,6307,8582,10136,7390,
310,Washington Heights/Inwood,11707,10647,11727,12746,10647,18187,13155,
110,Williamsbridge/Baychester,6592,8348,6385,6191,8348,9563,7945,
201,Williamsburg/Greenpoint,9283,8757,10511,8600,8757,13429,8457,
